bit_flipped,avalanche
104,0.5078125
91,0.53125
14,0.546875
17,0.6015625
38,0.5625
78,0.4765625
65,0.5234375
33,0.5625
116,0.578125
80,0.484375
47,0.46875
120,0.546875
72,0.46875
83,0.5546875
23,0.609375
102,0.5390625
36,0.5
9,0.4609375
121,0.421875
87,0.5
18,0.4609375
13,0.4296875
23,0.5390625
11,0.484375
98,0.5625
27,0.578125
15,0.4609375
16,0.5
14,0.4609375
27,0.4375
125,0.5078125
61,0.4375
60,0.4921875
51,0.5
40,0.4921875
50,0.484375
25,0.5234375
58,0.5625
72,0.453125
113,0.5234375
56,0.5
2,0.5625
72,0.546875
55,0.4765625
9,0.546875
9,0.421875
38,0.5078125
91,0.4765625
5,0.59375
34,0.4609375
116,0.546875
3,0.5
54,0.46875
15,0.5078125
98,0.4921875
12,0.4921875
14,0.484375
0,0.53125
85,0.5546875
42,0.4375
73,0.5546875
34,0.484375
16,0.515625
48,0.4921875
57,0.4921875
12,0.4375
118,0.484375
11,0.515625
26,0.4453125
73,0.5234375
125,0.53125
82,0.5234375
72,0.515625
73,0.3671875
13,0.4609375
102,0.484375
112,0.5390625
2,0.453125
75,0.4296875
108,0.5
127,0.4453125
93,0.4921875
18,0.53125
87,0.53125
32,0.5234375
49,0.484375
103,0.53125
17,0.5078125
53,0.5546875
88,0.546875
122,0.4609375
89,0.5703125
104,0.4765625
33,0.53125
121,0.578125
76,0.4921875
99,0.453125
53,0.4140625
105,0.5078125
122,0.5703125
69,0.5703125
67,0.484375
100,0.53125
67,0.484375
71,0.421875
63,0.4765625
116,0.453125
48,0.484375
36,0.5
62,0.515625
120,0.4921875
95,0.5078125
10,0.3984375
56,0.4296875
52,0.5859375
9,0.5546875
119,0.4296875
20,0.453125
102,0.5
16,0.5234375
4,0.4921875
10,0.4453125
35,0.4609375
46,0.4453125
119,0.5546875
49,0.5078125
59,0.4921875
108,0.515625
85,0.515625
0,0.4375
45,0.453125
78,0.46875
62,0.5390625
64,0.5
127,0.4921875
75,0.4765625
21,0.515625
85,0.53125
98,0.4609375
16,0.5390625
57,0.4609375
9,0.5078125
3,0.5234375
27,0.4921875
64,0.5390625
22,0.4921875
27,0.4375
33,0.5078125
23,0.578125
37,0.5078125
46,0.5625
14,0.546875
75,0.4921875
45,0.5546875
35,0.453125
21,0.484375
86,0.53125
98,0.4609375
7,0.5625
101,0.515625
2,0.4609375
80,0.5625
107,0.515625
69,0.453125
121,0.4921875
61,0.5078125
5,0.5546875
91,0.5234375
11,0.4453125
106,0.515625
75,0.5625
80,0.359375
7,0.53125
120,0.578125
91,0.453125
28,0.5078125
116,0.46875
107,0.5390625
100,0.453125
33,0.515625
0,0.46875
14,0.5078125
7,0.4296875
106,0.5078125
15,0.609375
100,0.5390625
73,0.3984375
70,0.515625
85,0.5703125
6,0.53125
117,0.5234375
88,0.5234375
38,0.453125
10,0.5234375
47,0.546875
52,0.515625
12,0.4140625
78,0.4609375
104,0.4765625
109,0.4921875
52,0.453125
127,0.5
124,0.4609375
48,0.4921875
45,0.6015625
58,0.5625
98,0.578125
119,0.5390625
124,0.5703125
115,0.46875
72,0.5859375
59,0.4921875
19,0.5
21,0.53125
26,0.609375
17,0.5078125
107,0.484375
70,0.5
14,0.4609375
34,0.53125
11,0.5
80,0.5078125
0,0.4453125
73,0.453125
118,0.578125
54,0.5390625
19,0.5390625
2,0.53125
73,0.484375
73,0.5
92,0.5234375
16,0.5
80,0.515625
6,0.4921875
68,0.5546875
113,0.578125
82,0.4921875
77,0.4921875
13,0.4921875
89,0.5703125
105,0.5234375
75,0.484375
45,0.5078125
40,0.546875
120,0.5390625
66,0.578125
56,0.4765625
97,0.515625
53,0.5390625
26,0.53125
52,0.4375
107,0.5390625
95,0.546875
104,0.53125
113,0.5625
48,0.59375
107,0.46875
27,0.5390625
120,0.4609375
17,0.5078125
49,0.4921875
13,0.5703125
104,0.578125
33,0.484375
94,0.4140625
95,0.46875
66,0.5
72,0.4453125
109,0.546875
111,0.5234375
51,0.515625
66,0.5
62,0.4921875
32,0.546875
70,0.53125
7,0.4453125
115,0.5625
57,0.5390625
52,0.53125
89,0.5390625
104,0.3828125
40,0.578125
66,0.4921875
120,0.5
101,0.4375
11,0.5078125
66,0.515625
80,0.5
107,0.515625
81,0.4375
116,0.515625
35,0.4609375
49,0.484375
78,0.46875
34,0.5234375
97,0.484375
73,0.5
17,0.5
26,0.5
66,0.5078125
33,0.46875
71,0.5
48,0.53125
114,0.53125
88,0.484375
19,0.5234375
99,0.53125
52,0.4765625
76,0.5
60,0.40625
32,0.5
66,0.5078125
16,0.4765625
29,0.4765625
2,0.5
3,0.4453125
26,0.5
108,0.4765625
29,0.53125
55,0.515625
49,0.4921875
83,0.515625
37,0.4609375
94,0.484375
123,0.53125
28,0.484375
36,0.4609375
49,0.5
125,0.5234375
75,0.515625
23,0.5546875
28,0.5390625
56,0.4140625
95,0.5234375
77,0.4296875
43,0.4609375
100,0.4765625
115,0.515625
89,0.4609375
71,0.5
9,0.5
109,0.4765625
32,0.5703125
80,0.515625
55,0.4375
9,0.53125
49,0.4921875
82,0.5234375
75,0.40625
98,0.515625
52,0.515625
81,0.5078125
71,0.5
107,0.5
58,0.578125
123,0.5390625
97,0.453125
53,0.4609375
99,0.4296875
84,0.5390625
14,0.5703125
55,0.546875
7,0.4375
55,0.5078125
75,0.4921875
47,0.453125
90,0.4609375
1,0.4921875
50,0.4140625
21,0.4765625
5,0.484375
115,0.4609375
27,0.4375
2,0.5546875
16,0.5546875
74,0.5
13,0.515625
17,0.4609375
35,0.6015625
30,0.53125
90,0.5234375
83,0.5390625
88,0.4765625
22,0.5546875
47,0.5078125
122,0.4765625
